Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",League,Focus Position,Rank,Status
B. Brereton Díaz,Blackburn Rovers,Blackburn Rovers,"CF, LAMF, LW",22,7000000,2022-06-30,10,984,9,7.52,1,1.1,25.7,30.96,England,"England, Chile",right,185,80,no,4.85,3.48,52.63,3.93,18.6,0.18,0.23,0.09,2.84,3.56,1.19,2,0.18,0,0.0,4.48,0.82,6,0.55,0.69,1,0.09,35,3.2,45.71,25.714,0.09,0.73,37.5,0.55,33.33,0.18,50.0,0.0,4.21,56.52,12.26,30.6,3.38,1.28,0.46,11.16,1.28,1.55,16.83,77.17,3.75,56.1,5.12,87.5,4.39,83.33,15.73,79.65,0.37,50.0,15.04,9.84,0.1,0.73,0.09,0.09,0.64,57.14,0.46,1.55,58.82,0.73,62.5,0.55,50.0,0.37,0.27,2.01,72.73,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,100,English Championship,Strikers,0,0
M. Crooks,Middlesbrough,Middlesbrough,"AMF, CF, LCMF",27,700000,2024-06-30,10,978,2,1.62,2,0.64,24.11,48.47,England,England,right,191,80,no,5.61,4.14,66.67,8.1,47.73,0.74,1.06,0.18,2.12,3.04,1.47,3,0.28,1,0.09,2.02,0.18,2,0.18,0.15,0,0.0,12,1.1,41.67,16.667,0.18,0.64,14.29,0.28,33.33,0.37,0.0,0.0,2.39,57.69,6.17,43.28,2.21,0.83,0.18,12.88,1.29,1.1,21.53,76.92,7.27,68.35,3.68,90.0,5.71,80.65,20.43,78.83,0.55,66.67,15.19,18.84,0.06,0.92,0.09,0.0,0.46,20.0,0.55,3.4,75.68,1.93,52.38,0.28,0.0,0.92,0.09,3.4,86.49,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.09,0,0,English Championship,Strikers,0,0
A. Weimann,Bristol City,Bristol City,"CF, RAMF, RW",30,3000000,2024-06-30,10,971,4,3.18,2,0.78,12.42,36.57,Austria,Austria,right,178,76,no,3.71,2.13,56.52,3.06,30.3,0.0,0.0,0.09,2.5,3.24,0.37,1,0.09,0,0.0,2.97,0.37,4,0.37,0.3,1,0.09,20,1.85,40.0,20.0,0.19,1.3,57.14,0.28,66.67,1.02,54.55,0.09,2.32,52.0,4.17,35.56,2.97,1.48,0.46,14.0,1.2,0.37,20.39,75.0,4.73,54.9,4.54,81.63,7.23,80.77,17.61,81.58,1.48,12.5,17.95,26.36,0.07,0.56,0.09,0.09,0.56,50.0,0.37,2.78,50.0,2.32,52.0,0.83,22.22,0.83,0.74,3.43,75.68,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.09,0,0,English Championship,Strikers,0,0
C. Woodrow,Barnsley,Barnsley,CF,26,3500000,2023-06-30,10,970,3,3.41,0,0.75,34.52,21.24,England,England,right,184,78,no,3.34,3.15,47.06,8.07,21.84,0.74,1.09,0.09,1.11,1.63,1.39,1,0.09,0,0.0,2.04,0.28,2,0.19,0.32,0,0.0,30,2.78,43.33,10.0,0.0,0.74,12.5,0.19,0.0,0.56,16.67,0.09,2.04,22.73,12.71,17.52,2.23,0.37,0.37,15.68,2.41,1.39,20.23,68.35,5.1,54.55,4.82,82.69,4.73,62.75,18.09,72.31,1.39,46.67,15.2,27.05,0.07,0.93,0.0,0.0,0.65,42.86,0.09,3.53,63.16,1.21,53.85,0.84,44.44,0.56,0.09,2.6,67.86,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,40,1.67,1,100,English Championship,Strikers,0,0
A. Mitrović,Fulham,Fulham,CF,27,16000000,0,10,952,10,10.1,2,0.9,27.13,28.57,Serbia,Serbia,right,189,90,no,2.84,2.36,48.0,7.56,42.5,0.09,0.15,0.09,1.61,2.59,1.42,2,0.19,0,0.0,2.27,0.95,9,0.85,0.96,2,0.19,45,4.25,44.44,22.222,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,25.0,10.3,15.6,5.2,0.47,0.19,20.61,1.23,0.66,26.38,79.21,5.48,58.62,8.22,87.36,6.62,81.43,25.71,78.68,0.66,100.0,13.38,18.22,0.09,0.57,0.19,0.09,0.76,25.0,0.47,1.89,75.0,1.32,64.29,0.28,33.33,1.51,0.0,2.36,68.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,50,English Championship,Strikers,0,0
C. Willock,Queens Park Rangers,Queens Park Rangers,"CF, AMF, RWF",23,1500000,2023-06-30,10,946,2,2.49,1,1.44,27.49,46.71,England,"England, Montserrat",right,178,67,no,3.9,4.0,69.05,1.14,25.0,0.1,0.15,0.0,1.05,1.65,0.48,1,0.1,0,0.0,7.42,0.19,2,0.19,0.24,0,0.0,22,2.09,22.73,9.091,0.1,3.9,48.78,2.38,48.0,1.52,50.0,0.57,8.09,61.18,18.36,45.08,4.38,3.42,1.81,23.02,0.38,1.62,34.53,84.02,5.99,74.6,7.52,97.47,12.94,80.15,29.78,89.46,1.14,41.67,16.58,21.74,0.14,1.52,0.1,0.19,0.19,50.0,1.05,3.14,84.85,3.04,53.13,0.19,0.0,0.86,1.52,3.9,90.24,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.48,0,0,English Championship,Strikers,0,0
D. Solanke,Bournemouth,Bournemouth,CF,24,12000000,2024-06-30,10,944,6,5.02,1,0.78,21.64,33.04,England,"England, Nigeria",right,187,80,no,3.81,2.48,61.54,4.96,28.85,0.1,0.16,0.0,2.19,3.75,0.67,0,0.0,0,0.0,3.15,0.57,6,0.57,0.48,2,0.19,28,2.67,53.57,21.429,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2.86,50.0,10.39,34.86,4.29,0.67,0.57,10.11,1.05,1.33,15.54,81.6,3.81,70.0,4.48,91.49,3.81,87.5,14.97,82.17,0.48,80.0,13.98,13.12,0.07,0.86,0.1,0.0,0.29,100.0,0.29,1.33,57.14,0.95,80.0,0.29,100.0,0.95,0.0,1.53,56.25,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,English Championship,Strikers,0,0
C. Martin,Bristol City,Bristol City,CF,32,1000000,2022-06-30,10,938,3,2.55,1,0.39,37.23,29.9,England,"England, Scotland",right,178,73,no,2.59,2.21,52.17,13.34,40.29,0.0,0.0,0.19,1.44,1.88,1.34,1,0.1,0,0.0,1.34,0.29,3,0.29,0.24,1,0.1,12,1.15,50.0,25.0,0.1,0.77,37.5,0.19,50.0,0.48,40.0,0.0,0.86,44.44,8.83,20.65,2.11,0.67,0.48,13.14,2.3,0.67,21.88,67.11,4.8,52.0,4.32,80.0,5.76,71.67,20.25,69.19,0.86,44.44,14.38,21.72,0.04,0.48,0.0,0.19,0.29,33.33,0.19,2.59,51.85,1.73,33.33,0.48,0.0,0.58,0.29,1.92,70.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,100,0.0,0,0,English Championship,Strikers,0,0
V. Gyökeres,Coventry City,Coventry City,CF,23,1000000,2024-06-30,10,910,7,5.18,2,2.71,33.82,30.99,Sweden,"Sweden, Hungary",right,187,86,no,3.36,2.27,69.57,7.02,26.76,0.0,0.0,0.0,1.78,2.61,0.69,0,0.0,0,0.0,5.74,0.69,7,0.69,0.51,1,0.1,34,3.36,52.94,20.588,0.2,1.58,25.0,1.19,25.0,0.4,25.0,0.1,7.12,45.83,17.31,32.57,5.93,2.87,1.88,13.85,1.58,0.49,21.96,72.97,4.65,57.45,5.93,81.67,4.75,81.25,19.98,77.23,0.49,40.0,14.58,13.6,0.27,1.98,0.0,0.0,0.69,42.86,0.89,1.68,52.94,1.78,83.33,0.4,50.0,2.57,0.4,2.27,69.57,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,English Championship,Strikers,0,0
J. Clarke-Harris,Peterborough United,Peterborough United,CF,27,1000000,2024-06-30,10,891,2,2.62,2,0.6,31.72,41.4,England,"England, Jamaica",left,183,71,no,3.03,1.52,66.67,12.22,41.32,0.2,0.28,0.4,1.82,2.5,1.21,0,0.0,0,0.0,1.41,0.2,0,0.0,0.26,0,0.0,14,1.41,35.71,14.286,0.2,0.3,33.33,0.2,50.0,0.1,0.0,0.0,1.62,43.75,7.78,36.36,2.42,0.3,0.1,10.3,2.42,1.31,17.68,61.71,5.45,50.0,3.33,81.82,4.55,62.22,16.87,62.28,0.51,60.0,14.73,17.71,0.06,0.51,0.0,0.1,0.1,100.0,0.2,3.64,41.67,0.71,57.14,0.0,0.0,0.61,0.1,1.62,68.75,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,25,0.0,2,100,English Championship,Strikers,0,0
