Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",League,Focus Position,Rank,Status
M. Russell,Greenock Morton,Finn Harps,"LWB, CF, AMF",25,275000,2022-06-10,15,856,0,0.36,1,0.68,23.97,40.79,Scotland,Scotland,left,178,74,no,7.36,5.89,64.29,4.31,34.15,0.32,0.4,0.32,3.26,4.1,0.74,0,0.0,0,0.0,3.47,0.0,0,0.0,0.04,0,0.0,7,0.74,57.14,0.0,0.11,1.89,44.44,1.79,47.06,0.11,0.0,0.53,4.84,43.48,11.14,31.13,0.63,0.84,0.53,15.67,1.47,0.74,25.97,71.66,8.41,53.75,4.63,90.91,8.1,77.92,20.5,80.0,3.57,38.24,18.87,19.09,0.07,0.42,0.0,0.0,0.42,25.0,0.32,4.63,52.27,2.0,63.16,0.42,75.0,0.53,0.63,4.63,75.0,0,,0,,0,0,0,0,,,0.11,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Strikers,0,0
G. Burke,Shamrock Rovers,Shamrock Rovers,"AMF, CF",27,275000,2023-12-31,22,1777,8,9.42,2,3.12,26.44,42.34,Republic of Ireland,Republic of Ireland,left,180,72,no,4.1,4.15,50.0,3.8,40.0,0.25,0.44,0.15,1.77,3.06,1.47,4,0.2,0,0.0,6.99,0.41,4,0.2,0.48,0,0.0,100,5.06,42.0,8.0,0.1,2.79,18.18,1.77,17.14,1.01,20.0,0.51,5.67,58.93,15.04,42.42,5.12,2.13,1.57,35.96,3.39,1.77,51.91,85.76,11.9,77.02,13.73,94.1,14.49,84.97,46.95,90.94,2.43,58.33,16.19,35.26,0.16,1.16,0.0,0.05,1.72,58.82,0.35,5.37,74.53,3.04,51.67,1.52,43.33,1.57,0.51,5.67,88.39,0,,0,,0,0,0,0,,,0.2,,,0.81,0.51,30.0,0.91,4,100.0,Irish Premier Division,Strikers,0,0
R. De Vries,Sligo Rovers,Sligo Rovers,"LAMF, CF, AMF",30,225000,2021-12-31,16,854,2,0.82,0,0.49,23.61,33.48,South Africa,"South Africa, New Zealand",,186,81,no,6.01,4.64,50.0,6.53,29.03,0.42,0.63,0.11,3.27,4.84,1.58,1,0.11,0,0.0,2.53,0.21,2,0.21,0.09,0,0.0,11,1.16,45.45,18.182,0.0,0.63,0.0,0.42,0.0,0.21,0.0,0.21,2.32,63.64,8.64,29.27,1.9,1.37,0.74,16.55,2.21,0.32,28.67,74.63,7.8,64.86,7.48,91.55,6.22,67.8,26.87,78.43,1.16,27.27,13.46,12.46,0.05,0.95,0.0,0.0,1.05,50.0,0.32,2.42,73.91,1.37,38.46,1.05,40.0,0.84,0.0,4.43,69.05,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.21,0,0.0,Irish Premier Division,Strikers,0,0
T. Owolabi,Finn Harps,Finn Harps,CF,26,200000,2021-12-31,22,1418,6,6.3,0,0.25,30.08,31.22,Belgium,"Belgium, Nigeria",right,181,0,no,3.36,4.7,45.95,5.59,17.05,0.06,0.08,0.06,1.14,1.48,3.62,7,0.44,0,0.0,3.36,0.38,6,0.38,0.4,1,0.06,45,2.86,33.33,13.333,0.0,0.32,20.0,0.06,100.0,0.25,0.0,0.06,4.89,46.75,14.22,34.82,3.68,1.52,1.33,5.97,1.46,1.59,8.38,75.0,1.27,50.0,1.9,83.33,2.79,86.36,7.81,77.24,0.25,75.0,15.36,6.24,0.02,0.32,0.0,0.0,0.06,100.0,0.06,0.38,83.33,0.19,33.33,0.06,0.0,0.44,0.0,0.44,42.86,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Strikers,0,0
G. Kelly,Bohemians,Bohemians,CF,24,150000,2021-12-31,24,2153,14,15.72,1,0.89,33.15,32.79,Republic of Ireland,Republic of Ireland,,0,0,no,3.01,3.05,54.79,11.29,38.52,0.04,0.07,0.13,1.3,2.03,2.01,2,0.08,0,0.0,2.26,0.59,10,0.42,0.66,2,0.08,70,2.93,50.0,20.0,0.04,0.17,25.0,0.04,0.0,0.13,33.33,0.04,1.8,39.53,10.28,26.83,4.39,0.46,0.17,11.41,3.93,1.55,14.88,71.35,2.8,53.73,3.3,83.54,4.39,75.24,14.42,72.46,0.29,42.86,13.35,10.72,0.04,0.54,0.0,0.0,0.29,14.29,0.21,0.92,59.09,0.75,50.0,0.25,16.67,0.54,0.04,1.09,57.69,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,5,80.0,Irish Premier Division,Strikers,0,0
R. Parkes,Sligo Rovers,Sligo Rovers,"CF, AMF, LAMF",30,125000,2021-12-31,20,1437,4,3.72,2,0.79,27.43,36.3,Jamaica,Jamaica,right,191,88,no,4.63,3.82,54.1,6.45,33.98,0.0,0.0,0.0,2.57,3.74,1.5,2,0.13,1,0.06,2.51,0.25,4,0.25,0.23,1,0.06,24,1.5,50.0,16.667,0.13,0.88,21.43,0.5,37.5,0.38,0.0,0.13,2.69,48.84,12.28,34.18,2.38,0.81,0.56,15.91,2.13,1.82,24.55,73.98,6.14,53.06,5.82,89.25,6.7,80.37,22.73,76.31,1.0,68.75,15.38,14.73,0.05,0.88,0.0,0.06,0.94,26.67,0.19,3.01,43.75,1.13,27.78,0.69,18.18,0.75,0.13,2.25,77.78,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Strikers,0,0
R. Coughlan,St. Patrick's Ath.,St. Patrick's Ath.,"CF, AMF",25,100000,2021-12-31,23,1756,7,5.71,5,1.15,21.68,32.86,Republic of Ireland,Republic of Ireland,right,178,75,no,3.95,3.54,66.67,3.54,23.19,0.15,0.26,0.0,1.44,2.47,1.28,1,0.05,0,0.0,2.1,0.36,6,0.31,0.29,2,0.1,35,1.79,37.14,20.0,0.26,0.87,11.76,0.36,0.0,0.51,20.0,0.1,2.67,36.54,10.76,27.14,2.92,0.67,0.36,17.27,2.67,1.33,22.71,73.81,5.28,56.31,6.05,88.14,5.95,77.59,20.91,78.19,0.97,31.58,15.51,21.29,0.06,0.67,0.0,0.05,0.72,50.0,0.36,2.15,59.52,1.49,51.72,0.62,41.67,0.97,0.15,1.95,76.32,0,,0,,0,0,0,0,,,0.0,,,0.26,0.26,20.0,0.0,1,100.0,Irish Premier Division,Strikers,0,0
P. Hoban,Dundalk,Dundalk,CF,30,100000,2021-12-31,17,1454,6,9.01,1,1.15,23.03,34.95,Republic of Ireland,Republic of Ireland,right,180,78,no,2.97,1.8,62.07,6.93,36.61,0.31,0.46,0.12,1.55,2.29,0.99,2,0.12,0,0.0,2.97,0.37,4,0.25,0.56,2,0.12,42,2.6,50.0,14.286,0.06,1.24,50.0,0.87,57.14,0.37,33.33,0.31,1.8,37.93,8.42,33.09,3.9,0.68,0.25,14.48,2.6,1.3,20.36,67.78,5.32,43.02,5.39,86.21,6.44,73.08,17.15,69.68,2.04,63.64,19.05,35.1,0.07,0.56,0.0,0.0,1.18,31.58,0.37,3.22,44.23,1.8,44.83,0.74,33.33,0.43,0.62,2.35,71.05,0,,0,,0,0,0,0,,,0.06,,,0.06,0.06,0.0,0.0,3,66.667,Irish Premier Division,Strikers,0,0
M. Smith,St. Patrick's Ath.,St. Patrick's Ath.,"CF, LW, LAMF",24,100000,2021-12-31,25,2226,8,7.77,0,2.73,25.11,36.23,Scotland,Scotland,,180,0,no,6.15,6.47,50.63,3.07,21.05,0.16,0.25,0.04,2.71,4.14,2.26,7,0.28,0,0.0,3.64,0.32,8,0.32,0.31,1,0.04,40,1.62,52.5,20.0,0.0,2.06,29.41,1.74,27.91,0.32,37.5,0.04,4.12,50.0,11.04,33.7,3.11,1.66,1.58,15.36,2.02,1.25,23.41,73.75,5.34,59.85,6.43,89.94,7.44,69.02,20.54,79.92,0.93,26.09,16.08,22.73,0.11,0.97,0.04,0.04,0.36,33.33,0.36,2.26,67.86,2.35,43.1,0.49,25.0,0.85,0.61,2.79,73.91,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.24,0,0.0,Irish Premier Division,Strikers,0,0
R. Gaffney,Shamrock Rovers,Shamrock Rovers,"CF, AMF",32,100000,2021-12-31,25,1747,8,6.74,2,2.4,26.63,31.53,Republic of Ireland,Republic of Ireland,right,184,76,no,3.3,3.61,61.43,3.35,30.77,0.0,0.0,0.05,1.08,1.89,1.49,2,0.1,0,0.0,3.92,0.41,8,0.41,0.35,0,0.0,47,2.42,40.43,17.021,0.1,2.42,29.79,1.34,34.62,1.03,25.0,0.52,3.61,50.0,13.19,25.39,4.89,0.98,0.41,17.82,3.61,0.57,26.12,74.56,4.07,55.7,6.75,83.97,9.58,75.27,21.43,81.49,2.37,54.35,17.38,32.48,0.12,1.18,0.15,0.0,0.52,80.0,0.57,2.22,58.14,2.52,48.98,0.62,75.0,1.49,0.72,3.19,77.42,0,,0,,0,0,0,0,,,0.15,,,0.05,0.05,100.0,0.0,0,0.0,Irish Premier Division,Strikers,0,0
